,Название,Год,Топливо,Объем двигателя,Мощность,Коробка передач,Привод,Цвет,Пробег,Руль,Оценка Drom,Цена
187,Volvo XC90,2022,бензин,2.0,249.0,АКПП,4WD,черный,,левый,8.9,10000000
188,Nissan Primera,1998,бензин,1.6,99.0,механика,передний,синий,200000.0,левый,8.2,100000
189,BMW 5-Series,2019,дизель,2.0,190.0,АКПП,4WD,белый,47350.0,левый,8.9,4690000
190,Лада Ларгус,2019,бензин,1.6,106.0,механика,передний,белый,85826.0,левый,8.3,798000
191,Hyundai Santa Fe,2022,бензин,2.5,180.0,АКПП,4WD,черный,3500.0,левый,8.7,4400000
192,Toyota Probox,2017,бензин,1.5,109.0,вариатор,передний,серебристый,138000.0,правый,8.0,949000
193,Лада Нива Легенд,2023,бензин,1.7,83.0,механика,4WD,белый,,левый,,920330
194,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
195,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
196,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
197,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
198,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
199,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,,левый,8.1,838900
200,Volkswagen Polo,2019,бензин,1.6,110.0,АКПП,передний,,,левый,8.6,1100000
201,Land Rover Range Rover Sport,2006,бензин,4.4,299.0,АКПП,4WD,серебристый,275000.0,левый,,1000000
202,Dodge Challenger,2020,бензин,3.6,305.0,АКПП,задний,черный,22000.0,левый,8.8,3200000
203,Toyota Land Cruiser,2007,дизель,4.5,235.0,АКПП,4WD,,,левый,,2200000
204,Mercedes-Benz S-Class,2015,бензин,3.0,333.0,АКПП,4WD,,,левый,,2400000
205,Volkswagen Tiguan,2012,бензин,2.0,170.0,механика,4WD,,182000.0,левый,,930000
206,Hyundai Getz,2008,бензин,1.4,97.0,АКПП,передний,красный,,левый,8.3,425000
207,Mercedes-Benz GLE Coupe,2015,бензин,3.0,333.0,АКПП,4WD,красный,,левый,,3400000
208,Audi A7,2010,бензин,3.0,300.0,робот,4WD,белый,147000.0,левый,,1299000
